Name,Comparison_average,Swaps_average,Size
Bubble,8,3,5
Bubble,38,19,10
Bubble,1184,570,50
Bubble,4750,2320,100
Bubble,495267,245177,1000
Bubble,49902029,24609768,10000
Selection,10,3,5
Selection,45,11,10
Selection,1225,123,50
Selection,4950,265,100
Selection,499500,4376,1000
Selection,49995000,50291,10000
Insertion,4,3,5
Insertion,9,19,10
Insertion,49,570,50
Insertion,99,2320,100
Insertion,999,245177,1000
Insertion,9999,24609768,10000
Merge,7,19,5
Merge,23,57,10
Merge,222,508,50
Merge,541,1213,100
Merge,8700,18676,1000
Merge,120508,254124,10000
Quick,7,2,5
Quick,19,6,10
Quick,201,54,50
Quick,509,131,100
Quick,8274,2455,1000
Quick,99567,38398,10000